image,method,edge_blending,background_smoothness,object_preservation,composite_score,stylization_strength,latent_mean,latent_std,latent_skewness,latent_min,latent_max,frac_outside_1,frac_outside_3
car1.png,latent_alpha_0.0,0.7887,0.6897,0.4593,0.6931,0.2654,0.5005,3.5712,-0.0395,-15.1710,15.2843,0.7995,0.4171
car1.png,latent_alpha_0.5,0.7821,0.6895,0.4601,0.6899,0.2620,0.5118,3.5639,-0.0377,-15.1710,15.2844,0.7995,0.4164
car1.png,latent_alpha_1.0,0.7617,0.6902,0.4590,0.6797,0.2613,0.5230,3.6015,-0.0825,-16.1732,15.2843,0.8005,0.4193
car1.png,latent_alpha_1.5,0.7194,0.7001,0.4545,0.6606,0.2556,0.5342,3.6827,-0.1575,-21.7234,15.2843,0.8022,0.4222
car1.png,latent_alpha_2.0,0.6607,0.7047,0.4500,0.6318,0.2716,0.5455,3.8047,-0.2428,-29.0256,21.6332,0.8028,0.4247
car1.png,pixel_alpha_1.5,0.2854,0.8528,0.5473,0.5080,0.1131,,,,,,,
car1.png,pixel_alpha_2.0,0.2722,0.8468,0.5396,0.4981,0.1241,,,,,,,
car1.png,filter_unsharp,0.0168,0.1980,0.9564,0.2591,1.4726,,,,,,,
car1.png,filter_bilateral,0.0990,0.5238,0.8937,0.3854,0.6231,,,,,,,
car1.png,filter_clahe,0.0191,0.1574,0.8728,0.2313,1.6280,,,,,,,
car2.png,latent_alpha_0.0,0.7146,0.7250,0.3673,0.6483,0.4776,0.1898,3.1343,0.0282,-14.2868,12.5250,0.7211,0.3084
car2.png,latent_alpha_0.5,0.7030,0.7236,0.3675,0.6421,0.4739,0.2068,3.1393,0.0049,-14.2870,12.5253,0.7201,0.3075
car2.png,latent_alpha_1.0,0.6700,0.7277,0.3552,0.6243,0.6690,0.2236,3.3252,-0.0428,-18.1077,17.5901,0.7305,0.3274
car2.png,latent_alpha_1.5,0.6106,0.7295,0.3391,0.5920,0.9582,0.2406,3.6647,-0.0698,-26.7021,25.5662,0.7367,0.3422
car2.png,latent_alpha_2.0,0.6007,0.7445,0.3289,0.5895,0.8539,0.2575,4.1199,-0.0653,-35.3960,33.5406,0.7403,0.3515
car2.png,pixel_alpha_1.5,0.1083,0.8496,0.6074,0.4305,0.4944,,,,,,,
car2.png,pixel_alpha_2.0,0.1047,0.8479,0.5779,0.4223,0.5255,,,,,,,
car2.png,filter_unsharp,0.0038,0.3551,0.9463,0.2977,1.4859,,,,,,,
car2.png,filter_bilateral,0.0291,0.6928,0.9050,0.4034,0.7097,,,,,,,
car2.png,filter_clahe,0.0139,0.2617,0.9004,0.2655,1.3848,,,,,,,
car3.png,latent_alpha_0.0,0.7543,0.8037,0.2898,0.6762,0.2255,2.1940,3.2533,-0.1377,-9.9820,15.8260,0.8190,0.4851
car3.png,latent_alpha_0.5,0.7534,0.8027,0.2905,0.6756,0.2287,2.1982,3.2410,-0.1165,-9.9823,15.8260,0.8177,0.4825
car3.png,latent_alpha_1.0,0.7496,0.8037,0.2871,0.6733,0.2529,2.2024,3.2934,-0.1532,-12.0620,15.8259,0.8209,0.4879
car3.png,latent_alpha_1.5,0.7516,0.8102,0.2827,0.6754,0.2773,2.2065,3.4076,-0.2255,-19.5215,19.0541,0.8224,0.4933
car3.png,latent_alpha_2.0,0.7559,0.8105,0.2802,0.6772,0.3028,2.2106,3.5777,-0.3051,-26.9803,27.1326,0.8238,0.4969
car3.png,pixel_alpha_1.5,0.4049,0.8988,0.2948,0.5310,0.1515,,,,,,,
car3.png,pixel_alpha_2.0,0.4045,0.8987,0.2922,0.5303,0.1686,,,,,,,
car3.png,filter_unsharp,0.0527,0.5343,0.9439,0.3754,1.4882,,,,,,,
car3.png,filter_bilateral,0.2617,0.8367,0.7317,0.5282,0.3237,,,,,,,
car3.png,filter_clahe,0.0304,0.4034,0.7719,0.2906,2.0350,,,,,,,
cat1.png,latent_alpha_0.0,0.8063,0.7581,0.2262,0.6758,0.2381,-0.1464,2.7683,0.0407,-11.6699,11.6316,0.7227,0.2787
cat1.png,latent_alpha_0.5,0.7897,0.7550,0.2282,0.6670,0.2433,-0.1376,2.7677,0.0439,-11.6723,11.6304,0.7228,0.2783
cat1.png,latent_alpha_1.0,0.7511,0.7537,0.2282,0.6473,0.2578,-0.1289,2.8249,0.0671,-11.6706,16.4094,0.7260,0.2858
cat1.png,latent_alpha_1.5,0.6705,0.7367,0.2263,0.6015,0.2644,-0.1202,2.9361,0.1292,-15.9725,23.6248,0.7287,0.2919
cat1.png,latent_alpha_2.0,0.5857,0.7147,0.2225,0.5518,0.2798,-0.1115,3.0957,0.2320,-22.0197,30.8426,0.7301,0.2959
cat1.png,pixel_alpha_1.5,0.2472,0.8286,0.2641,0.4250,0.1485,,,,,,,
cat1.png,pixel_alpha_2.0,0.2495,0.8247,0.2614,0.4245,0.1495,,,,,,,
cat1.png,filter_unsharp,0.0112,0.2543,0.9441,0.2707,1.4779,,,,,,,
cat1.png,filter_bilateral,0.0659,0.5470,0.8986,0.3768,0.6281,,,,,,,
cat1.png,filter_clahe,0.0162,0.2432,0.8906,0.2592,1.4230,,,,,,,
cat2.png,latent_alpha_0.0,0.7771,0.7818,0.2754,0.6782,0.2558,0.1284,3.2546,-0.2601,-15.8150,15.0036,0.7533,0.3368
