image,method,edge_blending,background_smoothness,object_preservation,overall
car1.png,DOD-FADE,0.2156,0.8559,0.5508,0.2156
car1.png,DOD-SAM,0.2156,0.8559,0.5508,0.2156
car1.png,LOL-FADE,0.6702,0.6722,0.4587,0.6702
car1.png,LOL-SAM,0.6929,0.6773,0.459,0.6929
car2.png,DOD-FADE,0.1204,0.8569,0.6324,0.1204
car2.png,DOD-SAM,0.1204,0.8569,0.6324,0.1204
car2.png,LOL-FADE,0.6666,0.7315,0.3534,0.6666
car2.png,LOL-SAM,0.664,0.7346,0.3537,0.664
car3.png,DOD-FADE,0.4093,0.8956,0.2971,0.4093
car3.png,DOD-SAM,0.4093,0.8956,0.2971,0.4093
car3.png,LOL-FADE,0.7504,0.8015,0.2855,0.7504
car3.png,LOL-SAM,0.7522,0.8022,0.2868,0.7522
cat1.png,DOD-FADE,0.2489,0.8418,0.2634,0.2489
cat1.png,DOD-SAM,0.2553,0.8462,0.2672,0.2553
cat1.png,LOL-FADE,0.7204,0.7512,0.2273,0.7204
cat1.png,LOL-SAM,0.7594,0.7544,0.2281,0.7594
cat2.png,DOD-FADE,0.1849,0.7837,0.3455,0.1849
cat2.png,DOD-SAM,0.1848,0.7837,0.3456,0.1848
cat2.png,LOL-FADE,0.2462,0.6993,0.368,0.2462
cat2.png,LOL-SAM,0.4381,0.7185,0.3466,0.4381
cat3.png,DOD-FADE,0.1517,0.7774,0.5541,0.1517
cat3.png,DOD-SAM,0.1516,0.7774,0.5541,0.1516
cat3.png,LOL-FADE,0.3926,0.7225,0.4925,0.3926
cat3.png,LOL-SAM,0.5896,0.7606,0.4887,0.5896
dog1.png,DOD-FADE,0.6263,0.919,0.7796,0.6263
dog1.png,DOD-SAM,0.6263,0.919,0.7796,0.6263
dog1.png,LOL-FADE,0.7479,0.8931,0.811,0.7479
dog1.png,LOL-SAM,0.7365,0.8928,0.8088,0.7365
dog2.png,DOD-FADE,0.373,0.9,0.2323,0.373
dog2.png,DOD-SAM,0.3732,0.9,0.2323,0.3732
dog2.png,LOL-FADE,0.4403,0.7921,0.2581,0.4403
dog2.png,LOL-SAM,0.505,0.7952,0.2658,0.505
horse1.png,DOD-FADE,0.2402,0.8222,0.2865,0.2402
horse1.png,DOD-SAM,0.2402,0.8222,0.2866,0.2402
horse1.png,LOL-FADE,0.6843,0.3569,0.1649,0.6843
horse1.png,LOL-SAM,0.7052,0.3751,0.1595,0.7052
horse2.png,DOD-FADE,0.2479,0.8524,0.5733,0.2479
horse2.png,DOD-SAM,0.248,0.8524,0.5732,0.248
horse2.png,LOL-FADE,0.5638,0.7826,0.5005,0.5638
horse2.png,LOL-SAM,0.7138,0.8222,0.5148,0.7138
horse3.png,DOD-FADE,0.239,0.8576,0.4933,0.239
horse3.png,DOD-SAM,0.239,0.8576,0.4934,0.239
horse3.png,LOL-FADE,0.476,0.6608,0.3439,0.476
horse3.png,LOL-SAM,0.7688,0.6978,0.3421,0.7688
