image,method,edge_blending,background_smoothness,object_preservation,overall
car1.png,DOD-FADE,0.2142,0.8565,0.5508,0.5405
car1.png,DOD-SAM,0.2142,0.8565,0.5508,0.5405
car1.png,LOL-FADE,0.6676,0.6726,0.4587,0.5996
car1.png,LOL-SAM,0.6907,0.6777,0.459,0.6091
car2.png,DOD-FADE,0.1118,0.8649,0.6324,0.5364
car2.png,DOD-SAM,0.1118,0.8649,0.6324,0.5364
car2.png,LOL-FADE,0.6485,0.7353,0.3534,0.5791
car2.png,LOL-SAM,0.6456,0.7379,0.3537,0.5791
car3.png,DOD-FADE,0.4053,0.8991,0.2971,0.5338
car3.png,DOD-SAM,0.4053,0.8991,0.2971,0.5338
car3.png,LOL-FADE,0.745,0.8032,0.2855,0.6112
car3.png,LOL-SAM,0.7481,0.8039,0.2868,0.6129
cat1.png,DOD-FADE,0.2467,0.8427,0.2634,0.4509
cat1.png,DOD-SAM,0.2547,0.8471,0.2672,0.4563
cat1.png,LOL-FADE,0.7152,0.7522,0.2273,0.5649
cat1.png,LOL-SAM,0.7578,0.7555,0.2281,0.5804
cat2.png,DOD-FADE,0.1472,0.7472,0.258,0.3841
cat2.png,DOD-SAM,0.1472,0.7472,0.258,0.3841
cat2.png,LOL-FADE,0.1691,0.646,0.3321,0.3824
cat2.png,LOL-SAM,0.3903,0.6806,0.2968,0.4559
cat3.png,DOD-FADE,0.1565,0.7753,0.5547,0.4955
cat3.png,DOD-SAM,0.1564,0.7752,0.5547,0.4954
cat3.png,LOL-FADE,0.4074,0.7203,0.4935,0.5404
cat3.png,LOL-SAM,0.6002,0.7583,0.4897,0.616
dog1.png,DOD-FADE,0.5667,0.9232,0.7118,0.7339
dog1.png,DOD-SAM,0.5667,0.9232,0.7118,0.7339
dog1.png,LOL-FADE,0.7338,0.9006,0.7539,0.7961
dog1.png,LOL-SAM,0.7305,0.9007,0.7509,0.794
dog2.png,DOD-FADE,0.4212,0.8847,0.281,0.5289
dog2.png,DOD-SAM,0.4212,0.8846,0.281,0.5289
dog2.png,LOL-FADE,0.6641,0.7704,0.3195,0.5847
dog2.png,LOL-SAM,0.6694,0.7695,0.3262,0.5884
horse1.png,DOD-FADE,0.1023,0.8163,0.4098,0.4428
horse1.png,DOD-SAM,0.1024,0.8163,0.4099,0.4428
horse1.png,LOL-FADE,0.341,0.4189,0.23,0.33
horse1.png,LOL-SAM,0.6037,0.4517,0.2222,0.4259
horse2.png,DOD-FADE,0.2486,0.8524,0.5733,0.5581
horse2.png,DOD-SAM,0.2487,0.8524,0.5732,0.5581
horse2.png,LOL-FADE,0.5634,0.7825,0.5005,0.6155
horse2.png,LOL-SAM,0.7135,0.8222,0.5148,0.6835
horse3.png,DOD-FADE,0.2511,0.8678,0.4933,0.5374
horse3.png,DOD-SAM,0.2512,0.8678,0.4934,0.5375
horse3.png,LOL-FADE,0.5083,0.668,0.3439,0.5067
horse3.png,LOL-SAM,0.7677,0.7,0.3421,0.6033
