image,method,edge_blending,background_smoothness,object_preservation,overall
car1.png,DOD-FADE,0.2927,0.8553,0.5508,0.5412
car1.png,DOD-SAM,0.2927,0.8553,0.5508,0.5412
car1.png,LOL-FADE,0.7335,0.6868,0.4587,0.6622
car1.png,LOL-SAM,0.7546,0.6911,0.459,0.6733
car2.png,DOD-FADE,0.1198,0.8503,0.6335,0.4782
car2.png,DOD-SAM,0.1198,0.8503,0.6334,0.4782
car2.png,LOL-FADE,0.6653,0.7236,0.3535,0.6233
car2.png,LOL-SAM,0.6614,0.7263,0.3537,0.6226
car3.png,DOD-FADE,0.4051,0.8988,0.2971,0.5563
car3.png,DOD-SAM,0.4051,0.8988,0.2971,0.5563
car3.png,LOL-FADE,0.747,0.803,0.2855,0.6743
car3.png,LOL-SAM,0.7496,0.8037,0.2868,0.676
cat1.png,DOD-FADE,0.2533,0.8421,0.2634,0.4614
cat1.png,DOD-SAM,0.2606,0.846,0.2672,0.4668
cat1.png,LOL-FADE,0.7134,0.7504,0.2273,0.6291
cat1.png,LOL-SAM,0.7534,0.7535,0.2281,0.6484
cat2.png,DOD-FADE,0.151,0.7473,0.2571,0.3809
cat2.png,DOD-SAM,0.151,0.7473,0.2571,0.3809
cat2.png,LOL-FADE,0.1651,0.6456,0.3478,0.3698
cat2.png,LOL-SAM,0.3995,0.6805,0.303,0.4785
cat3.png,DOD-FADE,0.1524,0.7922,0.5542,0.4567
cat3.png,DOD-SAM,0.1523,0.7922,0.5542,0.4567
cat3.png,LOL-FADE,0.4271,0.7362,0.4913,0.5481
cat3.png,LOL-SAM,0.6015,0.7704,0.4874,0.6378
dog1.png,DOD-FADE,0.5669,0.9225,0.7118,0.7203
dog1.png,DOD-SAM,0.5669,0.9225,0.7118,0.7203
dog1.png,LOL-FADE,0.7343,0.8999,0.7539,0.7962
dog1.png,LOL-SAM,0.7315,0.9,0.7509,0.7943
dog2.png,DOD-FADE,0.4197,0.8815,0.282,0.5538
dog2.png,DOD-SAM,0.4197,0.8815,0.282,0.5538
dog2.png,LOL-FADE,0.6735,0.7676,0.3206,0.6359
dog2.png,LOL-SAM,0.678,0.7668,0.3274,0.639
horse1.png,DOD-FADE,0.1015,0.8165,0.4098,0.4134
horse1.png,DOD-SAM,0.1016,0.8165,0.4099,0.4135
horse1.png,LOL-FADE,0.3341,0.4191,0.23,0.343
horse1.png,LOL-SAM,0.5955,0.4519,0.2222,0.4705
horse2.png,DOD-FADE,0.2665,0.8593,0.5591,0.5325
horse2.png,DOD-SAM,0.2665,0.8593,0.5591,0.5325
horse2.png,LOL-FADE,0.5762,0.7883,0.4836,0.6319
horse2.png,LOL-SAM,0.7245,0.8265,0.4984,0.715
horse3.png,DOD-FADE,0.2511,0.8678,0.4933,0.5154
horse3.png,DOD-SAM,0.2512,0.8678,0.4934,0.5154
horse3.png,LOL-FADE,0.5083,0.668,0.3439,0.5313
horse3.png,LOL-SAM,0.7677,0.7001,0.3421,0.6589
